token,logit,context
blue,4.3,"My favorite color is"
green,4.0,"My favorite color is"
red,3.8,"My favorite color is"
purple,3.5,"My favorite color is"
black,3.3,"My favorite color is"
white,3.1,"My favorite color is"
pink,2.9,"My favorite color is"
orange,2.7,"My favorite color is"
yellow,2.5,"My favorite color is"
turquoise,2.2,"My favorite color is"
navy,2.0,"My favorite color is"
gray,1.8,"My favorite color is"
silver,1.6,"My favorite color is"
gold,1.4,"My favorite color is"
teal,1.2,"My favorite color is"
maroon,1.0,"My favorite color is"
indigo,0.8,"My favorite color is"
violet,0.6,"My favorite color is"
magenta,0.4,"My favorite color is"
cyan,0.2,"My favorite color is"
beige,0.0,"My favorite color is"
brown,-0.2,"My favorite color is"

