token,logit,context
Python,5.2,"The best programming language is"
JavaScript,4.8,"The best programming language is"
Java,3.9,"The best programming language is"
TypeScript,3.5,"The best programming language is"
Go,3.2,"The best programming language is"
Rust,3.0,"The best programming language is"
C++,2.7,"The best programming language is"
Ruby,2.3,"The best programming language is"
PHP,2.0,"The best programming language is"
Swift,1.8,"The best programming language is"
Kotlin,1.5,"The best programming language is"
C#,1.3,"The best programming language is"
R,1.0,"The best programming language is"
Perl,0.5,"The best programming language is"
COBOL,0.1,"The best programming language is"
Assembly,-0.5,"The best programming language is"

