token,logit,context
soccer,5.1,"My favorite sport is"
basketball,4.7,"My favorite sport is"
tennis,4.3,"My favorite sport is"
swimming,4.0,"My favorite sport is"
football,3.8,"My favorite sport is"
baseball,3.5,"My favorite sport is"
volleyball,3.2,"My favorite sport is"
running,2.9,"My favorite sport is"
cycling,2.6,"My favorite sport is"
boxing,2.3,"My favorite sport is"
golf,2.1,"My favorite sport is"
hockey,1.9,"My favorite sport is"
skiing,1.7,"My favorite sport is"
surfing,1.5,"My favorite sport is"
gymnastics,1.3,"My favorite sport is"
martial_arts,1.1,"My favorite sport is"
wrestling,0.9,"My favorite sport is"
climbing,0.7,"My favorite sport is"
cricket,0.5,"My favorite sport is"
badminton,0.3,"My favorite sport is"
table_tennis,0.1,"My favorite sport is"
archery,-0.1,"My favorite sport is"
bowling,-0.3,"My favorite sport is"

