token,logit,context
Paris,4.8,"I want to visit"
Tokyo,4.5,"I want to visit"
NewYork,4.2,"I want to visit"
London,4.0,"I want to visit"
Rome,3.7,"I want to visit"
Barcelona,3.5,"I want to visit"
Sydney,3.3,"I want to visit"
Dubai,3.1,"I want to visit"
Bangkok,2.9,"I want to visit"
Amsterdam,2.7,"I want to visit"
Istanbul,2.5,"I want to visit"
Singapore,2.3,"I want to visit"
Venice,2.1,"I want to visit"
Bali,1.9,"I want to visit"
Santorini,1.7,"I want to visit"
Machu_Picchu,1.5,"I want to visit"
Rio,1.3,"I want to visit"
Maldives,1.1,"I want to visit"
Iceland,0.9,"I want to visit"
Prague,0.7,"I want to visit"
Vienna,0.5,"I want to visit"
Cairo,0.3,"I want to visit"

